date,BRI,sent_vol_score,news_tone_score,herding_score,polarity_skew_score,event_density_score
2022-01-01,28.973713224089863,92.71778194794527,74.7444406596694,46.66931208844084,59.742924257342,54.624760013085094
2022-01-02,24.02767146941221,23.464208185545353,47.38098283979466,48.213209891984185,88.08951605447525,8.947312281038721
2022-01-03,30.449002573291676,39.931591580930814,5.784444944716061,84.09087104029072,4.960590834948276,41.798408550691356
2022-01-04,37.5852865794703,15.241601333041743,95.77898009882038,22.123869644606398,25.706269218920873,85.3284798567202
2022-01-05,23.661141915557693,99.24835021583752,94.27243190941122,38.099127366839994,46.50363342209099,85.61536219946603
2022-01-06,23.7942849681006,92.70009679242953,78.51895431484084,80.8405738893691,22.6978539471521,9.9237664919681
2022-01-07,38.433708375487946,53.99571302805596,99.13279015642206,82.36236107489735,74.39051873021519,9.072088274783086
2022-01-08,32.07164566219719,84.20332943764213,54.448233280026294,38.46110759787682,91.92080310537251,26.26954770019353
2022-01-09,22.307994989247966,52.09579772720422,96.27683502532061,45.91240232866809,42.37701199309234,87.47660625539935
2022-01-10,30.535276799291207,62.35856880027597,7.560504061675077,30.328589084928293,34.2132600111895,12.890258507349895
2022-01-11,22.61776964686501,8.912443211601662,36.568074826137135,93.2554878419312,96.15507321375662,71.99968026274462
2022-01-12,22.728820933157536,75.52704204968079,22.538126800676583,11.864376574158031,44.485243282754084,10.116561961310321
2022-01-13,28.519063085678685,12.771348363523483,19.583308413427,93.374942300147,48.90484004492832,62.31378537478254
2022-01-14,11.404912755183254,82.60676302525283,14.08029488926761,68.38664518353433,35.164987234190534,35.60672991191448
2022-01-15,13.03861193780262,78.20280876703859,62.241364156599666,53.15721526867312,90.95484730121383,78.8913962965867
2022-01-16,22.465391189274055,70.87446977429764,78.1321855747305,3.2659060784495875,56.89554832818507,23.36904488253636
2022-01-17,18.98564374015927,3.6160380524762115,57.82983994203607,47.55961918220083,76.21745871816447,63.920182938995985
2022-01-18,29.72566531796776,30.31283559453286,14.696270958820968,40.774810500273226,81.18067183508863,23.568253457588494
2022-01-19,20.069609653061935,26.311256991084285,81.11237699334708,16.121881197512256,34.18490419172582,71.36602831121537
2022-01-20,16.156139657818642,36.01364074715191,63.59547071637285,65.6409603500657,43.369433132038004,87.36780345607488
2022-01-21,39.2991084463055,8.764274676383854,38.81657061269955,97.11509073682858,84.84717744062647,12.680179912676003
2022-01-22,25.885570418025523,93.69578230310628,67.4130295536063,56.218881106452514,36.32553516758102,86.65956885955035
2022-01-23,28.348314896410013,55.38022407123763,25.990497924283286,71.47532764439458,79.39351334518513,59.35752544142979
2022-01-24,16.524791491721597,30.552431065802356,34.51922084942105,6.845045256601678,94.09923225744372,12.711049086702397
2022-01-25,23.68071657630843,39.698151707428345,91.74858431319902,41.76669958169947,62.3210373068007,42.7541855359712
2022-01-26,29.034409581135982,44.72025405048357,29.05045056714204,11.635848516449588,74.16272874518889,16.08602934850979
2022-01-27,19.048516354623395,60.05943333606173,46.99882681579366,61.27958355365104,80.50973120411349,70.03478888665695
2022-01-28,31.369608498524798,51.567942769649775,89.01411373960147,93.84821582141547,84.50396488966425,75.88681344179497
2022-01-29,23.66453629163933,91.93919732144174,70.77213502675275,66.17777324716386,39.505333785679596,10.579652027279895
2022-01-30,26.239719372286487,49.696348290583025,6.220322616470275,7.680304831442153,5.126345917599817,50.613985269464436
2022-01-31,23.861183393759145,99.21580148233127,14.730304427897034,35.466620498508284,40.187627123673956,81.46250560259172
