date,score_mean,score_std,score_sum,comments_mean,comments_sum,upvote_ratio_mean,engagement_mean,engagement_std,quality_mean,quality_std,vix,sp500,vix_sp500_ratio,market_volatility,market_return,vix_return,sentiment_volatility,media_herding,news_tone,event_density,polarity_skew,sentiment_volatility_norm,media_herding_norm,news_tone_norm,event_density_norm,polarity_skew_norm,BRI,BRI_MA_7,BRI_MA_30,BRI_MA_90,BRI_volatility,BRI_volatility_volatility
2024-02-29,13.25,27.99362172250774,106.0,19.25,154.0,0.7475,51.75,99.24392748605399,10.09,20.640415278214313,13.399999618530273,5096.27001953125,0.0026293739474508443,13.399999618530273,0.005229094697149161,-0.03179194575191846,9.922600535230274,114.42857142857143,0.7475,66.42857142857143,0.7501846867071994,0.0029952630824094115,0.026499647141848978,0.7255434782608696,0.003988686634273697,0.3609712383594272,18.932761319344277,23.699840569961534,,,,
2024-03-01,1.6666666666666667,2.0816659994661326,5.0,4.333333333333333,13.0,0.6699999999999999,10.333333333333334,12.342339054382412,1.3433333333333335,1.7783231802271862,13.109999656677246,5137.080078125,0.0025520333452661126,13.109999656677246,0.00800782894888763,-0.021641788814083185,10.156747014034597,65.0,0.6699999999999999,45.142857142857146,1.4481758290298197,0.0030797158913964027,0.014290755116443189,0.6413043478260869,0.002637972296758286,0.5964468691757042,19.27978558738313,23.154295811620404,,,,
2024-03-03,1.8333333333333333,2.8577380332470415,11.0,12.666666666666666,76.0,0.455,27.166666666666668,37.738132792530514,1.2966666666666666,2.025454681464551,,,,,,,10.344594822608933,55.285714285714285,0.455,30.285714285714285,1.7296977327089764,0.003147469526544643,0.011891319689484826,0.4076086956521739,0.001695191819566321,0.6914216386790222,15.483525255160654,22.480127131008732,,,,
2024-03-04,3.2857142857142856,6.019808571549035,23.0,14.0,98.0,0.5171428571428571,31.285714285714285,31.18073275659338,2.5599999999999996,4.9643529286302766,13.489999771118164,5130.9501953125,0.0026291426066544694,13.489999771118164,-0.0011932620709189656,0.02898551673472971,10.058230037234674,67.71428571428571,0.5171428571428571,33.0,1.6650785788490567,0.0030441824276170367,0.014961185603387436,0.47515527950310554,0.0018674305605917761,0.6696215969659636,16.69268813104382,21.297057203192008,,,,
2024-03-06,1.0,1.4142135623730951,2.0,5.0,10.0,0.53,11.0,7.0710678118654755,0.75,1.0606601717798212,14.5,5104.759765625,0.0028404862649250833,14.5,0.005141103203274655,0.0027662490835065334,9.608848567394197,62.42857142857143,0.53,29.571428571428573,1.8294028280247738,0.002882097874270209,0.013655610444601271,0.4891304347826087,0.0016498658350859383,0.7250583409113158,17.48579328963476,19.61107721965642,,,,
2024-03-07,3.3333333333333335,3.5118845842842465,10.0,9.0,27.0,0.6699999999999999,21.333333333333332,15.176736583776282,2.5166666666666666,2.313186834938616,14.4399995803833,5157.35986328125,0.0027998821030875646,14.4399995803833,0.010304127925951478,-0.004137959973565475,3.2140982159729536,44.285714285714285,0.6699999999999999,15.857142857142858,0.2926358987388184,0.000575615911757343,0.009174311926605503,0.6413043478260869,0.0007796069330625862,0.20661170147825866,15.150524350818124,19.070757652724115,,,,
2024-03-09,2.6666666666666665,4.618802153517007,8.0,9.666666666666666,29.0,0.45999999999999996,22.0,8.0,2.0,3.4641016151377544,,,,,,,11.3450705508175,71.71428571428571,0.45999999999999996,36.142857142857146,1.7182385018107031,0.0035083247740887663,0.015949188426252647,0.4130434782608695,0.0020668648923054616,0.6875557305595277,15.671409298076227,17.952296822495647,,,,
2024-03-11,0.8,1.3038404810405297,4.0,5.0,25.0,0.53,10.8,14.652644812456213,0.704,1.3031039866411276,15.220000267028809,5117.93994140625,0.0029738528472936375,15.220000267028809,-0.001122238087346461,0.032564484624427736,11.755593572516235,63.42857142857143,0.53,40.857142857142854,1.6989222007837863,0.00365639372013198,0.013902611150317573,0.4891304347826087,0.002366016389875988,0.6810391461882493,17.08574749374471,18.980556371708303,,,,
2024-03-12,17.125,47.230249084367834,137.0,20.5,164.0,0.49125,58.125,67.27860517494187,15.22625,42.04171497708301,13.84000015258789,5175.27001953125,0.0026742566282254485,13.84000015258789,0.011201787981366396,-0.09067017675620026,18.284920290710907,77.85714285714286,0.49125,53.142857142857146,0.9245207069663606,0.006011415179182727,0.01746647847565279,0.44701086956521735,0.003145623322938575,0.41978557260430294,13.80226188445826,17.530138862975935,,,,
2024-03-14,13.333333333333334,12.884098726725126,120.0,24.0,216.0,0.77,61.333333333333336,40.36087214122113,10.804444444444446,10.378682612826053,14.399999618530273,5150.47998046875,0.00279585585676225,14.399999618530273,-0.0028710915621273925,0.04727269952947433,16.824583176505982,107.0,0.77,75.14285714285714,0.6450693606184867,0.00548469544377458,0.024664784756527877,0.75,0.0045416636449343685,0.3255093302944714,19.104378739845167,19.088632872645256,,,,
2024-03-15,1.0,1.0690449676496976,8.0,12.0,96.0,0.7475,25.0,21.434284952584058,0.95875,1.0753927853845509,14.40999984741211,5117.08984375,0.002816053711664345,14.40999984741211,-0.006482917484461503,0.0006944603574132735,16.129625690707208,92.28571428571429,0.7475,55.142857142857146,0.8201365053589198,0.005234035634146216,0.021030345800988007,0.7255434782608696,0.003272536079483647,0.384570318096955,19.088440501428288,18.783131088970567,,,,
2024-03-31,21.88888888888889,48.950087958155,197.0,22.444444444444443,202.0,0.5622222222222223,66.77777777777777,89.34732477497266,19.192222222222224,45.76209178396945,,,,,,,16.1151046109303,149.28571428571428,0.5622222222222223,73.28571428571429,0.19488306120193563,0.005228798117942912,0.03510938602681722,0.5241545893719807,0.004423816085285373,0.17363361667551616,13.320383789682772,,,,,
