date,source,headline,url,text,tone,goldstein_scale,actor1,actor2,event_code
2023-01-01,WSJ,Energy sector gains on oil price recovery,https://example.com/news/20230101_9920,Corporate earnings disappoint as supply chain issues persist Additional context about market conditions and investor sentiment.,4.857674103012712,3.787270459830241,Federal Reserve,Consumers,18
2023-01-01,Reuters,Stocks tumble on recession fears and geopolitical tensions,https://example.com/news/20230101_7671,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,-3.7644947941057105,2.7223489132851486,Banks,Government,17
2023-01-01,Reuters,Market volatility spikes as investors react to economic uncertainty,https://example.com/news/20230101_2182,Financial services show resilience in challenging market Additional context about market conditions and investor sentiment.,9.8021913456194,5.052818578848706,Investors,Market,18
2023-01-01,Financial Times,Market volatility spikes as investors react to economic uncertainty,https://example.com/news/20230101_9164,Consumer goods face headwinds from inflation Additional context about market conditions and investor sentiment.,2.3611232324411646,-2.142534188809928,Investors,Government,17
2023-01-01,Bloomberg,Tech stocks rally on strong earnings and AI optimism,https://example.com/news/20230101_5794,Financial services show resilience in challenging market Additional context about market conditions and investor sentiment.,8.356112390587462,3.970789233923575,Economy,Government,15
2023-01-01,CNBC,Fed signals potential rate hikes amid inflation concerns,https://example.com/news/20230101_3669,Consumer goods face headwinds from inflation Additional context about market conditions and investor sentiment.,2.2052363689137366,9.134126365028912,Stock Market,Business,14
2023-01-01,Reuters,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230101_6595,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,-6.852349930550378,-7.953245785973433,Stock Market,Consumers,18
2023-01-01,Reuters,Consumer goods face headwinds from inflation,https://example.com/news/20230101_5419,Consumer goods face headwinds from inflation Additional context about market conditions and investor sentiment.,9.184104065441279,-3.5638400445739626,Banks,Financial Sector,18
2023-01-01,Bloomberg,Energy sector gains on oil price recovery,https://example.com/news/20230101_6298,Healthcare stocks mixed amid regulatory uncertainty Additional context about market conditions and investor sentiment.,-5.99446974505585,9.135451604070044,Banks,Government,14
2023-01-01,Reuters,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230101_4182,Healthcare stocks mixed amid regulatory uncertainty Additional context about market conditions and investor sentiment.,0.4958520457235216,-5.958727787436402,Federal Reserve,Market,16
2023-01-02,WSJ,Consumer goods face headwinds from inflation,https://example.com/news/20230102_8866,Stocks tumble on recession fears and geopolitical tensions Additional context about market conditions and investor sentiment.,1.080773014051024,-5.682581988149922,Investors,Business,18
2023-01-02,Bloomberg,Consumer goods face headwinds from inflation,https://example.com/news/20230102_8564,Consumer goods face headwinds from inflation Additional context about market conditions and investor sentiment.,3.0726569794968572,3.5795950962318113,Investors,Business,14
2023-01-02,Bloomberg,Stocks tumble on recession fears and geopolitical tensions,https://example.com/news/20230102_7038,Corporate earnings disappoint as supply chain issues persist Additional context about market conditions and investor sentiment.,4.051132538562983,-5.412443543739151,Banks,Government,14
